TIPUS,VALASZTAS,MEGYE,TELEPULES,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,BUDAPEST,Budapest IV. kerület,046,MSZP-PARBESZED,51
Listas,2019EP,BUDAPEST,Budapest IV. kerület,047,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest IV. kerület,048,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest IV. kerület,049,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest IV. kerület,050,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest IV. kerület,051,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest IV. kerület,052,MSZP-PARBESZED,38
Listas,2019EP,BUDAPEST,Budapest IV. kerület,053,MSZP-PARBESZED,22
Listas,2019EP,BUDAPEST,Budapest IV. kerület,054,MSZP-PARBESZED,55
Listas,2019EP,BUDAPEST,Budapest IV. kerület,055,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest IV. kerület,056,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest IV. kerület,057,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest IV. kerület,058,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest IV. kerület,059,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest IV. kerület,060,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest IV. kerület,061,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest IV. kerület,062,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest IV. kerület,063,MSZP-PARBESZED,106
Listas,2019EP,BUDAPEST,Budapest IV. kerület,064,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest IV. kerület,065,MSZP-PARBESZED,28
Listas,2019EP,BUDAPEST,Budapest IV. kerület,066,MSZP-PARBESZED,39
Listas,2019EP,BUDAPEST,Budapest IV. kerület,067,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest IV. kerület,068,MSZP-PARBESZED,38
Listas,2019EP,BUDAPEST,Budapest IV. kerület,069,MSZP-PARBESZED,35
Listas,2019EP,BUDAPEST,Budapest IV. kerület,070,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest V. kerület,001,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest V. kerület,002,MSZP-PARBESZED,36
Listas,2019EP,BUDAPEST,Budapest V. kerület,003,MSZP-PARBESZED,23
Listas,2019EP,BUDAPEST,Budapest V. kerület,004,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest V. kerület,005,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest V. kerület,006,MSZP-PARBESZED,30
Listas,2019EP,BUDAPEST,Budapest V. kerület,007,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest V. kerület,008,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest V. kerület,009,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest V. kerület,010,MSZP-PARBESZED,17
Listas,2019EP,BUDAPEST,Budapest V. kerület,011,MSZP-PARBESZED,95
Listas,2019EP,BUDAPEST,Budapest V. kerület,012,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest V. kerület,013,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest V. kerület,014,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest V. kerület,015,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest V. kerület,016,MSZP-PARBESZED,36
Listas,2019EP,BUDAPEST,Budapest V. kerület,017,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest V. kerület,018,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest V. kerület,019,MSZP-PARBESZED,62
Listas,2019EP,BUDAPEST,Budapest V. kerület,020,MSZP-PARBESZED,65
Listas,2019EP,BUDAPEST,Budapest V. kerület,021,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest VI. kerület,001,MSZP-PARBESZED,29
Listas,2019EP,BUDAPEST,Budapest VI. kerület,002,MSZP-PARBESZED,19
Listas,2019EP,BUDAPEST,Budapest VI. kerület,003,MSZP-PARBESZED,24
Listas,2019EP,BUDAPEST,Budapest VI. kerület,004,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest VI. kerület,005,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest VI. kerület,006,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest VI. kerület,007,MSZP-PARBESZED,25
Listas,2019EP,BUDAPEST,Budapest VI. kerület,008,MSZP-PARBESZED,25
Listas,2019EP,BUDAPEST,Budapest VI. kerület,009,MSZP-PARBESZED,16
Listas,2019EP,BUDAPEST,Budapest VI. kerület,010,MSZP-PARBESZED,38
Listas,2019EP,BUDAPEST,Budapest VI. kerület,011,MSZP-PARBESZED,26
Listas,2019EP,BUDAPEST,Budapest VI. kerület,012,MSZP-PARBESZED,23
Listas,2019EP,BUDAPEST,Budapest VI. kerület,013,MSZP-PARBESZED,23
Listas,2019EP,BUDAPEST,Budapest VI. kerület,014,MSZP-PARBESZED,29
Listas,2019EP,BUDAPEST,Budapest VI. kerület,015,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest VI. kerület,016,MSZP-PARBESZED,29
Listas,2019EP,BUDAPEST,Budapest VI. kerület,017,MSZP-PARBESZED,39
Listas,2019EP,BUDAPEST,Budapest VI. kerület,018,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest VI. kerület,019,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest VI. kerület,020,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest VI. kerület,021,MSZP-PARBESZED,39
