SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK
04-064-001,04,BÉKÉS,03,064,Sarkadkeresztúr,Vörösmarty u. 7. (Községháza),Igen,Igen
04-064-002,04,BÉKÉS,03,064,Sarkadkeresztúr,Rákóczi u. 54.  (Vadászház),Nem,Nem
04-064-003,04,BÉKÉS,03,064,Sarkadkeresztúr,Okányi u. 21. (Kultúrház),Nem,Nem
04-064-004,04,BÉKÉS,03,064,Sarkadkeresztúr,Varsányhely (Italbolt),Nem,Nem
04-065-001,04,BÉKÉS,01,065,Szabadkígyós,Kossuth tér 1. (Ált. Iskola),Igen,Nem
04-065-002,04,BÉKÉS,01,065,Szabadkígyós,Kossuth tér 1.  (Ált. isk.),Igen,Nem
04-065-003,04,BÉKÉS,01,065,Szabadkígyós,Kossuth tér 6. (Mûvelõdési ház),Igen,Igen
04-066-001,04,BÉKÉS,02,066,Szarvas,Fõ tér 3. (Általános Iskola),Igen,Igen
04-066-002,04,BÉKÉS,02,066,Szarvas,Kossuth L. u. 43. (Gimnázium),Igen,Nem
04-066-003,04,BÉKÉS,02,066,Szarvas,Kossuth L. u. 17. (Benka Gyula Ált. Isk.),Igen,Nem
04-066-004,04,BÉKÉS,02,066,Szarvas,Kossuth L. u. 66. (Óvoda),Igen,Nem
04-066-005,04,BÉKÉS,02,066,Szarvas,Budai N. A. u. 5-7. (Közfogl. Kp.),Nem,Nem
04-066-006,04,BÉKÉS,02,066,Szarvas,Damjanich u. 64. (Civil Ház),Igen,Nem
04-066-007,04,BÉKÉS,02,066,Szarvas,Damjanich u. 116. (Napfény Óvoda),Nem,Nem
04-066-008,04,BÉKÉS,02,066,Szarvas,Damjanich u. 116. (Napfény Óvoda),Nem,Nem
04-066-009,04,BÉKÉS,02,066,Szarvas,Tanya II. 86. (Mótyói Id.klubja),Igen,Nem
04-066-010,04,BÉKÉS,02,066,Szarvas,Vajda P. u. 20. (Székely Szakképzõ),Igen,Nem
04-066-011,04,BÉKÉS,02,066,Szarvas,Zöldpázsit u. 4/1. (Óvoda),Igen,Nem
04-066-012,04,BÉKÉS,02,066,Szarvas,Vajda P.u. 26. (Könyvtár),Igen,Nem
04-066-013,04,BÉKÉS,02,066,Szarvas,Tessedik S. u. 24. (Napraforgó Klub),Nem,Nem
04-066-014,04,BÉKÉS,02,066,Szarvas,Dózsa Gy. u. 24. (Óvoda),Igen,Nem
04-066-015,04,BÉKÉS,02,066,Szarvas,Dózsa Gy. u. 29. (Idõsek Klubja),Igen,Nem
04-066-016,04,BÉKÉS,02,066,Szarvas,Tanya III. 135/1. (Idõsek Klubja Sirató),Igen,Nem
04-066-017,04,BÉKÉS,02,066,Szarvas,Tanya III. 411. (Ezüstszõlõi klub),Nem,Nem
04-066-018,04,BÉKÉS,02,066,Szarvas,Tanya V. 28. (Középhalmi Ev. Misszió),Igen,Nem
04-067-001,04,BÉKÉS,03,067,Szeghalom,Kossuth u.18. (Idõsek otthona),Igen,Igen
04-067-002,04,BÉKÉS,03,067,Szeghalom,Dózsa u. 17-19. (Általános Iskola),Nem,Nem
04-067-003,04,BÉKÉS,03,067,Szeghalom,Tildy Z. u. 17-21. (Általános Iskola),Nem,Nem
04-067-004,04,BÉKÉS,03,067,Szeghalom,Tildy Z. u. 17-21. (Általános Iskola),Nem,Nem
04-067-005,04,BÉKÉS,03,067,Szeghalom,Szabolcs Vezér utca 3. (Sportcsarnok),Igen,Nem
04-067-006,04,BÉKÉS,03,067,Szeghalom,Petõfi Sándor u. 3. (Óvoda),Nem,Nem
04-067-007,04,BÉKÉS,03,067,Szeghalom,Újtelep III. u.15. (Óvoda),Nem,Nem
04-068-001,04,BÉKÉS,03,068,Tarhos,Dózsa utca 2. (Közösségi Ház),Igen,Igen
04-069-001,04,BÉKÉS,01,069,Telekgerendás,Dózsa u. 14.,Igen,Nem
04-069-002,04,BÉKÉS,01,069,Telekgerendás,Ady E. u. 10.,Igen,Igen
04-070-001,04,BÉKÉS,04,070,Tótkomlós,Fõ út 8. (Zeneiskola),Nem,Nem
04-070-002,04,BÉKÉS,04,070,Tótkomlós,Bajcsy-Zsilinszky utca 6. (Természet Háza),Igen,Nem
04-070-003,04,BÉKÉS,04,070,Tótkomlós,Fõ út 8. (Zeneiskola),Nem,Nem
04-070-004,04,BÉKÉS,04,070,Tótkomlós,Aradi út 2. (Evangélikus Óvoda),Nem,Nem
04-070-005,04,BÉKÉS,04,070,Tótkomlós,Aradi út 2. (Evangélikus Óvoda),Nem,Nem
04-070-006,04,BÉKÉS,04,070,Tótkomlós,Bajcsy-Zsilinszky utca 6. (Természet Háza),Igen,Igen
04-070-007,04,BÉKÉS,04,070,Tótkomlós,Erzsébet utca 2. (Magyar Iskola),Nem,Nem
04-070-008,04,BÉKÉS,04,070,Tótkomlós,Pósa Lajos utca 2. (Idõsek Klubja),Nem,Nem
04-071-001,04,BÉKÉS,01,071,Újkígyós,Fõ utca 32. (óvoda),Igen,Nem
04-071-002,04,BÉKÉS,01,071,Újkígyós,Fõ utca 32. (óvoda),Igen,Nem
04-071-003,04,BÉKÉS,01,071,Újkígyós,Arany János utca 43. (önkormányzati konyha),Igen,Igen
04-071-004,04,BÉKÉS,01,071,Újkígyós,Arany János utca 42. (mûvelõdési ház),Igen,Nem
04-071-005,04,BÉKÉS,01,071,Újkígyós,Petõfi utca 45. (általános iskola),Igen,Nem
04-071-006,04,BÉKÉS,01,071,Újkígyós,Petõfi utca 45. (általános iskola),Igen,Nem
04-072-001,04,BÉKÉS,03,072,Újszalonta,Béke u. 33. (Kultúrház),Igen,Igen
04-073-001,04,BÉKÉS,04,073,Végegyháza,Széchenyi u. 2.,Igen,Igen
04-073-002,04,BÉKÉS,04,073,Végegyháza,Hunyadi út 20. (ABC),Nem,Nem
04-074-001,04,BÉKÉS,03,074,Vésztõ,Kóti út 41. (Óvoda),Nem,Nem
04-074-002,04,BÉKÉS,03,074,Vésztõ,Bartók Béla utca 27-29. (Máv Okt.),Nem,Nem
04-074-003,04,BÉKÉS,03,074,Vésztõ,Kossuth Lajos u. 43-47. (Mûvelõdési Központ),Igen,Igen
04-074-004,04,BÉKÉS,03,074,Vésztõ,Kossuth Lajos u. 43-47. (Mûvelõdési Központ),Igen,Nem
04-074-005,04,BÉKÉS,03,074,Vésztõ,Kossuth Lajos u. 95. (ebédlõ),Nem,Nem
04-074-006,04,BÉKÉS,03,074,Vésztõ,Kossuth Lajos u. 124.  (Óvoda),Nem,Nem
04-074-007,04,BÉKÉS,03,074,Vésztõ,Békési út 36-38. (Óvoda),Nem,Nem
04-075-001,04,BÉKÉS,03,075,Zsadány,Béke utca 82. (Községháza),Igen,Igen
04-075-002,04,BÉKÉS,03,075,Zsadány,Béke utca 108-114. (Általános Iskola),Igen,Nem
05-001-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,001,Abaújalpár,Petõfi u. 11. (Általános Iskola),Igen,Igen
05-002-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,002,Abaújkér,Rákóczi út 25. (Kultúrház),Igen,Igen
05-002-002,05,BORSOD-ABAÚJ-ZEMPLÉN,05,002,Abaújkér,Napsugár út 25. (Iskola),Nem,Nem
05-003-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,003,Abaújlak,Fõ utca 82. (Kultúrház),Igen,Igen
05-004-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,004,Abaújszántó,Petõfi út 16. (Gondozási Központ),Igen,Nem
05-004-002,05,BORSOD-ABAÚJ-ZEMPLÉN,05,004,Abaújszántó,Jászay tér 10. (Óvoda),Nem,Nem
05-004-003,05,BORSOD-ABAÚJ-ZEMPLÉN,05,004,Abaújszántó,Béke út 51. (Önkormányzati tanácsterem),Igen,Igen
05-005-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,005,Abaújszolnok,Béke utca 1. (Önkormányzati Hivatal),Igen,Igen
05-006-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,006,Abaújvár,Rákóczi út 39. (Óvoda épülete),Igen,Igen
05-007-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,007,Abod,Magyar út 42. (Mûvelõdési Ház),Igen,Igen
05-008-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,008,Aggtelek,Deák u. 2.,Igen,Igen
05-009-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,009,Alacska,Kossuth utca 50. (Kultúrotthon),Igen,Igen
05-010-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,010,Alsóberecki,Kossuth Lajos u. 29. (Polgármesteri Hivatal),Igen,Igen
05-011-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,011,Alsódobsza,Rákóczi u. 36. (Mûv. terem),Igen,Igen
05-012-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,012,Alsógagy,Rákóczi u. 18. (Községháza),Igen,Igen
05-013-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,013,Alsóregmec,Szabadság u. 22. (Mûvelõdési Ház),Igen,Igen
05-014-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,014,Alsószuha,Dózsa Gy. út 3. (Mûv.Ház),Igen,Igen
05-015-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,015,Alsótelekes,Béke utca 36. (Kultúrház),Igen,Igen
05-016-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,016,Alsóvadász,Fõ út 40.  (Közösségi Ház),Igen,Igen
05-017-001,05,BORSOD-ABAÚJ-ZEMPLÉN,01,017,Alsózsolca,Fekete István utca 7. (Óvoda),Igen,Igen
05-017-002,05,BORSOD-ABAÚJ-ZEMPLÉN,01,017,Alsózsolca,Kassai út 23. (Iskola),Igen,Nem
05-017-003,05,BORSOD-ABAÚJ-ZEMPLÉN,01,017,Alsózsolca,Görgey Artúr út 1. (Közösségi Ház),Igen,Nem
05-017-004,05,BORSOD-ABAÚJ-ZEMPLÉN,01,017,Alsózsolca,Görgey Artúr út 1. (Közösségi Ház),Igen,Nem
05-017-005,05,BORSOD-ABAÚJ-ZEMPLÉN,01,017,Alsózsolca,Ilona út 19. (Iskola),Igen,Nem
05-018-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,018,Arka,Hunyadi u. 29. (Polgármesteri Hivatal),Igen,Igen
05-019-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,019,Arló,Rákóczi út 3.A. (Általános Iskola  1.tanterem),Igen,Igen
05-019-002,05,BORSOD-ABAÚJ-ZEMPLÉN,03,019,Arló,Rákóczi út 3.A. (Általános Iskola 2.tanterem),Igen,Nem
05-019-003,05,BORSOD-ABAÚJ-ZEMPLÉN,03,019,Arló,Rákóczi út 3.A. (Általános Iskola 3.tanterem),Igen,Nem
05-020-001,05,BORSOD-ABAÚJ-ZEMPLÉN,01,020,Arnót,Petõfi Sándor utca 118. (Mûvelõdési Ház),Igen,Igen
05-020-002,05,BORSOD-ABAÚJ-ZEMPLÉN,01,020,Arnót,Alkotmány utca 1. (Általános Iskola),Igen,Nem
05-021-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,021,Aszaló,Rákóczi út 72. (Iskola),Igen,Igen
05-021-002,05,BORSOD-ABAÚJ-ZEMPLÉN,06,021,Aszaló,Rákóczi út 91. (Kultúrház),Igen,Nem
05-022-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,022,Ároktõ,Széchenyi u. 6. (Tompa Mihály Közösségi Ház),Igen,Igen
05-023-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,023,Baktakék,Rákóczi u. 112. (Községháza),Igen,Igen
05-024-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,024,Balajt,Fõ út 55. (Községi Önkormányzat),Igen,Igen
05-025-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,025,Baskó,Fõ út 43. (Faluház),Igen,Igen
05-026-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,026,Bánhorváti,Szabadság út 175. (Mûv. Ház),Igen,Igen
05-026-002,05,BORSOD-ABAÚJ-ZEMPLÉN,04,026,Bánhorváti,Szabadság út 144. (Ált. Isk.),Igen,Nem
05-027-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,027,Bánréve,Kossuth Lajos utca 24. (Önkormányzat Hivatala),Igen,Igen
05-028-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,028,Becskeháza,Fõ út 52. (Iskola),Igen,Igen
05-029-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,029,Bekecs,Honvéd utca 79. (Iskola),Igen,Igen
05-029-002,05,BORSOD-ABAÚJ-ZEMPLÉN,06,029,Bekecs,Honvéd utca 54. (Hivatal),Igen,Nem
05-030-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,030,Berente,Bajcsy-Zsilinszky utca 1. (Mûvelõdési Ház),Igen,Igen
05-031-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,031,Beret,Rákóczi u. 40/B. (Községháza),Igen,Igen
05-032-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,032,Berzék,Petõfi Sándor utca 42. (Polgm.Hivatal),Igen,Igen
05-033-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,033,Bodroghalom,Szabadság utca 109. (Iskola),Igen,Igen
05-034-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,034,Bodrogkeresztúr,Kossuth u. 66. (Ált. I.),Igen,Igen
05-035-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,035,Bodrogkisfalud,Kossuth út 61/A. (Általános Iskola),Igen,Igen
05-036-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,036,Bodrogolaszi,Fõ u. 11.,Igen,Igen
05-037-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,037,Bogács,Alkotmány utca 5. (Közösségi Ház),Igen,Igen
05-037-002,05,BORSOD-ABAÚJ-ZEMPLÉN,07,037,Bogács,Alkotmány utca 54. (Központi Konyha Étterme),Igen,Nem
05-038-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,038,Boldogkõújfalu,Szabadság u. 22. (Közösségi Ház),Igen,Igen
05-039-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,039,Boldogkõváralja,Kossuth Lajos utca 63. (Közösségi Ház),Igen,Igen
05-040-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,040,Boldva,Monostor tér (Kultúrház),Igen,Igen
05-040-002,05,BORSOD-ABAÚJ-ZEMPLÉN,04,040,Boldva,Mátyás király út 46. (Általános Iskola),Igen,Nem
05-041-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,041,Borsodbóta,Széchenyi út 42. (Polgármesteri Hiv.),Igen,Igen
05-042-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,042,Borsodgeszt,Fõ út 69. (Kultúrház),Nem,Igen
05-043-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,043,Borsodivánka,Szabadság út 15. (Mûvelõdési Ház),Igen,Igen
05-044-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,044,Borsodnádasd,Köztársaság út 12. (Polgármesteri Hivatal),Igen,Igen
05-044-002,05,BORSOD-ABAÚJ-ZEMPLÉN,03,044,Borsodnádasd,Köztársaság út 11. (Általános Iskola),Igen,Nem
05-044-003,05,BORSOD-ABAÚJ-ZEMPLÉN,03,044,Borsodnádasd,Köztársaság út 12. (Közösségi Ház és Könyvtár),Igen,Nem
05-044-004,05,BORSOD-ABAÚJ-ZEMPLÉN,03,044,Borsodnádasd,Petõfi tér 1. (Petõfi Mûvelõdési Ház),Nem,Nem
05-045-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,045,Borsodszentgyörgy,Szentgyörgy út 143. (Kultúrház),Igen,Igen
05-046-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,046,Borsodszirák,Fõ út 14. (Kultúrház),Igen,Igen
05-047-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,047,Bódvalenke,Szabadság út 65. (Polgármesteri Hivatal),Igen,Igen
05-048-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,048,Bódvarákó,Szabadság út 16. (Önkormányzat épülete),Igen,Igen
05-049-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,049,Bódvaszilas,Kossuth Lajos út 2. (Tornaterem),Igen,Igen
05-050-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,050,Bózsva,Dózsa György út 21.,Igen,Igen
05-051-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,051,Bõcs,Hõsök tere 15. (Óvoda),Igen,Igen
05-051-002,05,BORSOD-ABAÚJ-ZEMPLÉN,06,051,Bõcs,Munkácsy M. u. 7. (Általános Isk.),Igen,Nem
05-051-003,05,BORSOD-ABAÚJ-ZEMPLÉN,06,051,Bõcs,Munkácsy M. u. 7. (Ált. Iskola),Igen,Nem
05-052-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,052,Bükkaranyos,Petõfi u. 110. (Népház),Igen,Igen
05-053-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,053,Bükkábrány,Bükkábrány Község Önkormányzatának Hivatala,Igen,Igen
05-053-002,05,BORSOD-ABAÚJ-ZEMPLÉN,07,053,Bükkábrány,Tornácos Ház,Igen,Nem
05-054-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,054,Bükkmogyorósd,Petõfi S. út 4. (Mûvelõdési Ház),Igen,Igen
05-055-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,055,Bükkszentkereszt,Kossuth u. 32. (Közösségi Ház),Igen,Igen
05-056-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,056,Bükkzsérc,Rákóczi út 120. (Mûv.Ház),Igen,Igen
05-057-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,057,Büttös,Dózsa György utca 12. (Mûvelõdési Ház),Igen,Igen
05-058-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,058,Cigánd,Fõ utca 38. (Mûvelõdési Ház),Igen,Igen
05-058-002,05,BORSOD-ABAÚJ-ZEMPLÉN,05,058,Cigánd,Fõ utca 90. (Családsegítõ Szolgálat),Igen,Nem
05-058-003,05,BORSOD-ABAÚJ-ZEMPLÉN,05,058,Cigánd,József A. utca 1. (Szociális Szolgáltató),Igen,Nem
05-059-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,059,Csenyéte,Rákóczi út 14. (Községháza),Igen,Igen
05-060-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,060,Cserépfalu,Kossuth út 152. (Közösségi Ház),Igen,Igen
05-061-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,061,Cserépváralja,Alkotmány út 52. (Községháza),Igen,Igen
05-062-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,062,Csernely,Kissor út 26. (Csernelyi Kirendeltség),Igen,Igen
05-063-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,063,Csincse,Mátyás utca 45.,Igen,Igen
05-064-001,05,BORSOD-ABAÚJ-ZEMPLÉN,06,064,Csobaj,Rákóczi u. 1. (Polgármesteri Hiv.),Igen,Igen
05-065-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,065,Csobád,Petõfi út 35. (Kultúrház),Igen,Igen
05-066-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,066,Csokvaomány,József A. út 1. (Idõsek Klubja),Igen,Igen
05-067-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,067,Damak,Dózsa Gy. út 1. (Sport és Közösségi ház),Igen,Igen
05-068-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,068,Dámóc,Fõ utca 115. (Mûvelõdési Ház),Igen,Igen
05-069-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,069,Debréte,Petõfi S. u. 3. (Könyvtár),Igen,Igen
05-070-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,070,Detek,Kossuth u. 54. (Községháza),Igen,Igen
05-071-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,071,Dédestapolcsány,Iskola utca 33. (Mûvelõdési ház),Igen,Igen
05-072-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,072,Domaháza,Dózsa György út 57. (Mûvelõdési Ház),Igen,Igen
05-073-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,073,Dövény,Rákóczi u. 14. (Községháza),Igen,Igen
05-074-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,074,Dubicsány,Rákóczi F. út 1. (Faluház),Igen,Igen
05-075-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,Borsodi út 150. (Általános Iskola),Igen,Nem
05-075-002,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,Borsodi út 9. (Mûvelõdési Központ),Igen,Igen
05-075-003,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,Árpád út 41. (Finkei Óvoda),Igen,Nem
05-075-004,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,István k. u. 49. (Könyvtár),Igen,Nem
05-075-005,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,István k. u. 58. (Szociális Szolgáltató Központ),Igen,Nem
05-075-006,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,István k. u. 58. (Szociális Szolgáltató Központ),Igen,Nem
05-075-007,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,István k. u. 52. (Városháza),Igen,Nem
05-075-008,05,BORSOD-ABAÚJ-ZEMPLÉN,04,075,Edelény,Bányász út 2. (Kistérségi Hivatal),Igen,Nem
05-076-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,076,Egerlövõ,Dózsa György út 15. (Mûvelõdési Ház),Igen,Igen
05-077-001,05,BORSOD-ABAÚJ-ZEMPLÉN,07,077,Emõd,Kossuth utca 87. (Központi Iskola),Nem,Nem
05-077-002,05,BORSOD-ABAÚJ-ZEMPLÉN,07,077,Emõd,Kossuth utca 87.  (Központi Iskola),Nem,Nem
05-077-003,05,BORSOD-ABAÚJ-ZEMPLÉN,07,077,Emõd,Kossuth utca 12.  (Orvosi rendelõ),Igen,Igen
05-077-004,05,BORSOD-ABAÚJ-ZEMPLÉN,07,077,Emõd,Geleji utca 21. (3. sz. Óvoda),Nem,Nem
05-077-005,05,BORSOD-ABAÚJ-ZEMPLÉN,07,077,Emõd,Geleji utca 21. (3. sz. Óvoda),Nem,Nem
05-078-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Bem József út 2. (Szürke Iskola),Nem,Nem
05-078-002,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Táncsics út 4. (Zrínyi Iskola),Nem,Nem
05-078-003,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Rákóczi út 9. (Mûvelõdési Ház),Nem,Nem
05-078-004,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Vasút utca 11. (Városgazda Kft.),Igen,Igen
05-078-005,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Petõfi út 18. (Katolikus Iskola),Nem,Nem
05-078-006,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Fõ út 7.  (Abaújdevecseri Óvoda),Nem,Nem
05-078-007,05,BORSOD-ABAÚJ-ZEMPLÉN,05,078,Encs,Fõ utca 69. (Fügödi Iskola),Nem,Nem
05-079-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,079,Erdõbénye,Kossuth út 24. (Szepsi ház),Igen,Igen
05-080-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,080,Erdõhorváti,Kassai u. 98. (Faluház),Igen,Igen
05-081-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,081,Égerszög,Béke u. 29. (Volt Iskola),Igen,Igen
05-082-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,082,Fancsal,Rákóczi u. 46. (Kultúrház),Igen,Igen
05-083-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,083,Farkaslyuk,Esze Tamás utca 9.,Igen,Igen
05-083-002,05,BORSOD-ABAÚJ-ZEMPLÉN,03,083,Farkaslyuk,Esze Tamás utca 9.,Igen,Nem
05-084-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,084,Fáj,Fõ u. 32. (Községháza),Igen,Igen
05-085-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,085,Felsõberecki,Kossuth Lajos u. 63. (Faluház),Igen,Igen
05-086-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,086,Felsõdobsza,Kossuth utca 5. (Közösségi Ház),Igen,Igen
05-087-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,087,Felsõgagy,Rákóczi utca 78. (Községháza),Igen,Igen
05-088-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,088,Felsõkelecsény,Szabadság u. 20. (Községháza),Igen,Igen
05-089-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,089,Felsõnyárád,Petõfi u. 7. (Mûvelõdési ház),Igen,Igen
05-090-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,090,Felsõregmec,Szabadság utca 1. (Mûvelõdési Ház),Igen,Igen
05-091-001,05,BORSOD-ABAÚJ-ZEMPLÉN,03,091,Felsõtelekes,Táncsics M.u. 1/a. (Ormosbányai Közös Önkorm. Hiv),Igen,Igen
05-092-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,092,Felsõvadász,Ady Endre u. 1. (Közösségi Ház),Igen,Igen
05-093-001,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Park u. 3. (Óvoda),Nem,Nem
05-093-002,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Sport u. 2. (Iskola),Nem,Nem
05-093-003,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Sport u. 2. (Iskola),Nem,Nem
05-093-004,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Szent István u. 43. (Óvoda),Igen,Igen
05-093-005,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Szent István u. 2. (Iskola),Nem,Nem
05-093-006,05,BORSOD-ABAÚJ-ZEMPLÉN,01,093,Felsõzsolca,Szent István u. 2. (Iskola),Nem,Nem
05-094-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,094,Filkeháza,Rózsa Ferenc utca 46. (Ifjúsági Klub),Igen,Igen
05-095-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,095,Fony,Fõ út 3. (Községháza),Igen,Igen
05-096-001,05,BORSOD-ABAÚJ-ZEMPLÉN,04,096,Forró,Szent Imre t. 2. (Kultúrotthon),Nem,Igen
05-096-002,05,BORSOD-ABAÚJ-ZEMPLÉN,04,096,Forró,Fõ út 131. (Ált. Iskola),Igen,Nem
05-097-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,097,Fulókércs,Fõ u. 94. (Mûvelõdési Ház),Igen,Igen
05-098-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,098,Füzér,Rákóczi Ferenc u. 2. (Mûvelõdési Ház),Igen,Igen
05-099-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,099,Füzérkajata,Dózsa György utca 40. (Polgármesteri Hivatal),Igen,Igen
05-100-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,100,Füzérkomlós,dr. Molnár út 20.,Igen,Igen
05-101-001,05,BORSOD-ABAÚJ-ZEMPLÉN,05,101,Füzérradvány,Táncsics Mihály utca 11.  (Polgármesteri Hivatal),Igen,Igen
