SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_BELYEGZES_NELKULI,URNABAN_LEBELYEGZETT,ELTERES,ERVENYTELEN,ERVENYES
03-092-002,670,336,0,335,-1,7,328
03-093-001,646,391,0,391,0,3,388
03-093-002,558,279,0,279,0,6,273
03-094-001,745,445,0,445,0,9,436
03-095-001,1020,551,0,551,0,13,538
03-096-001,687,396,0,396,0,4,392
03-096-002,889,477,0,474,-3,3,471
03-096-003,671,375,0,375,0,9,366
03-096-004,863,509,0,510,1,14,496
03-096-005,929,499,0,498,-1,8,490
03-096-006,1005,470,0,469,-1,8,461
03-097-001,1056,709,0,708,-1,19,689
03-098-001,1094,725,0,724,-1,5,719
03-098-002,1141,677,1,677,0,7,670
03-098-003,883,553,0,552,-1,13,539
03-098-004,884,502,0,502,0,14,488
03-098-005,855,473,0,471,-2,11,460
03-098-006,823,471,0,471,0,10,461
03-099-001,996,494,0,494,0,13,481
03-099-002,902,440,0,440,0,7,433
03-099-003,977,457,0,457,0,10,447
03-100-001,605,294,0,294,0,1,293
03-100-002,658,323,0,323,0,8,315
03-100-003,681,386,0,386,0,8,378
03-100-004,639,322,0,322,0,6,316
03-100-005,650,328,0,328,0,5,323
03-100-006,679,356,0,356,0,8,348
03-100-007,685,378,0,378,0,7,371
03-100-008,272,114,0,114,0,0,114
03-101-001,935,530,0,530,0,9,521
03-102-001,747,391,0,390,-1,11,379
03-102-002,878,476,0,475,-1,16,459
03-102-003,728,397,0,397,0,13,384
03-103-001,970,630,0,629,-1,8,621
03-103-002,880,569,0,569,0,10,559
03-104-001,573,249,0,249,0,4,245
03-104-002,928,596,0,596,0,8,588
03-105-001,1087,651,1,650,-1,13,637
03-106-001,865,486,0,486,0,7,479
03-107-001,1122,562,0,562,0,10,552
03-107-002,1141,521,0,521,0,10,511
03-108-001,949,594,0,593,-1,6,587
03-109-001,652,452,0,451,-1,13,438
03-109-002,666,422,0,422,0,6,416
03-110-001,725,345,0,345,0,8,337
03-110-002,755,383,0,383,0,4,379
03-110-003,816,436,0,436,0,10,426
03-110-004,732,352,0,352,0,6,346
03-110-005,889,542,0,542,0,5,537
03-111-001,1253,608,0,607,-1,7,600
03-111-002,1225,690,0,688,-2,5,683
03-111-003,1152,713,0,712,-1,5,707
03-111-004,1219,593,0,593,0,4,589
03-111-005,1181,548,0,546,-2,2,544
03-111-006,1069,463,0,463,0,5,458
03-111-007,691,252,0,252,0,1,251
03-111-008,400,160,0,160,0,8,152
03-111-009,650,296,0,294,-2,2,292
03-111-010,310,113,0,113,0,1,112
03-112-001,641,383,0,383,0,11,372
03-113-001,704,267,0,266,-1,4,262
03-113-002,658,319,0,318,-1,6,312
03-113-003,707,356,0,356,0,6,350
03-113-004,699,319,0,319,0,6,313
03-113-005,837,302,0,302,0,3,299
03-114-001,715,365,0,365,0,7,358
03-115-001,134,100,0,100,0,2,98
03-116-001,303,239,0,238,-1,8,230
03-117-001,888,507,0,507,0,11,496
03-117-002,983,588,0,589,1,18,571
03-117-003,840,507,0,507,0,8,499
03-118-001,930,623,0,623,0,6,617
03-118-002,799,472,0,472,0,8,464
03-119-001,564,373,0,373,0,8,365
04-001-001,629,292,0,292,0,8,284
04-002-001,668,351,0,351,0,14,337
04-002-002,625,361,0,361,0,9,352
04-002-003,545,271,0,271,0,2,269
04-002-004,768,392,0,392,0,11,381
04-002-005,838,466,0,466,0,13,453
04-002-006,789,435,0,434,-1,18,416
04-003-001,1068,540,0,540,0,5,535
04-003-002,972,491,0,491,0,6,485
04-003-003,1031,640,0,640,0,5,635
04-003-004,1075,688,0,688,0,8,680
04-003-005,1001,593,0,592,-1,9,583
04-003-006,1151,708,0,709,1,19,690
04-003-007,840,469,0,469,0,6,463
04-003-008,888,487,0,487,0,3,484
04-003-009,911,570,0,570,0,4,566
04-003-010,934,424,0,424,0,6,418
04-003-011,759,400,0,398,-2,6,392
04-003-012,928,352,0,352,0,10,342
04-003-013,848,487,0,487,0,6,481
04-003-014,854,508,0,507,-1,6,501
04-003-015,820,461,0,461,0,13,448
04-003-016,871,383,0,378,-5,11,367
04-004-001,650,387,0,387,0,6,381
04-004-002,552,345,0,345,0,1,344
04-004-003,585,380,0,380,0,3,377
04-004-004,853,573,1,572,-1,1,571
04-004-005,810,563,0,563,0,1,562
04-004-006,497,330,0,328,-2,3,325
04-004-007,754,437,0,437,0,5,432
04-004-008,559,306,0,306,0,1,305
04-004-009,1052,644,0,644,0,5,639
04-004-010,676,398,0,398,0,3,395
04-004-011,868,561,0,561,0,5,556
04-004-012,536,267,0,267,0,3,264
04-004-013,448,272,0,272,0,4,268
04-004-014,595,346,0,346,0,1,345
04-004-015,759,525,0,525,0,3,522
04-004-016,739,369,0,369,0,2,367
04-004-017,789,445,0,445,0,6,439
04-004-018,511,303,0,303,0,5,298
04-004-019,865,518,0,518,0,1,517
04-004-020,782,450,0,450,0,4,446
04-004-021,652,386,0,386,0,0,386
04-004-022,671,343,0,342,-1,4,338
04-004-023,570,294,0,295,1,13,282
04-004-024,495,248,0,248,0,2,246
04-004-025,439,235,0,235,0,2,233
04-004-026,467,232,0,232,0,1,231
04-004-027,616,322,0,321,-1,4,317
04-004-028,882,530,0,530,0,2,528
04-004-029,757,481,0,481,0,0,481
04-004-030,876,573,1,572,-1,5,567
04-004-031,573,325,0,325,0,3,322
04-004-032,692,318,2,316,-2,0,316
04-004-033,661,350,0,350,0,3,347
04-004-034,560,344,0,344,0,2,342
04-004-035,735,412,0,412,0,3,409
04-004-036,663,386,0,386,0,1,385
04-004-037,635,345,0,343,-2,3,340
04-004-038,611,382,0,382,0,4,378
04-004-039,643,341,0,341,0,1,340
04-004-040,517,275,0,274,-1,2,272
04-004-041,903,444,0,444,0,3,441
04-004-042,754,447,0,447,0,1,446
04-004-043,567,385,0,385,0,4,381
04-004-044,778,427,0,427,0,4,423
04-004-045,540,282,0,282,0,4,278
04-004-046,858,469,0,469,0,0,469
04-004-047,910,517,0,513,-4,4,509
04-004-048,941,553,0,553,0,3,550
04-004-049,710,389,0,388,-1,2,386
04-004-050,840,497,0,497,0,1,496
04-004-051,915,525,0,525,0,7,518
04-004-052,784,397,0,396,-1,0,396
04-004-053,538,358,0,358,0,0,358
04-004-054,158,65,0,65,0,0,65
04-004-055,235,120,0,120,0,0,120
04-004-056,728,431,0,431,0,3,428
04-004-057,817,471,0,470,-1,2,468
04-004-058,675,375,0,375,0,1,374
04-004-059,572,262,0,261,-1,2,259
04-004-060,806,479,0,479,0,2,477
04-004-061,254,104,0,104,0,1,103
04-004-062,1145,634,0,633,-1,7,626
04-004-063,695,430,0,430,0,0,430
04-004-064,859,546,0,546,0,1,545
04-004-065,552,338,0,338,0,3,335
04-004-066,475,270,0,269,-1,4,265
04-004-067,819,394,0,394,0,0,394
04-004-068,771,419,1,418,-1,4,414
04-005-001,579,307,0,307,0,9,298
04-005-002,635,322,0,322,0,11,311
04-005-003,609,278,0,278,0,6,272
04-006-001,498,333,0,332,-1,3,329
04-006-002,409,260,0,260,0,4,256
04-006-003,424,231,0,231,0,7,224
04-006-004,447,315,0,315,0,6,309
04-006-005,661,409,0,409,0,12,397
04-006-006,504,328,0,328,0,4,324
04-006-007,34,23,0,23,0,3,20
04-007-001,729,520,0,520,0,8,512
04-008-001,709,478,0,477,-1,6,471
04-009-001,860,434,1,433,-1,5,428
04-009-002,875,441,0,441,0,5,436
04-010-001,669,427,0,427,0,9,418
04-010-002,697,417,0,417,0,6,411
04-010-003,74,30,0,30,0,1,29
04-011-001,233,166,0,165,-1,4,161
04-012-001,939,503,0,503,0,7,496
04-012-002,1026,470,0,469,-1,9,460
04-013-001,333,245,0,245,0,3,242
04-014-001,784,346,0,346,0,11,335
04-014-002,796,294,0,294,0,5,289
04-014-003,787,328,0,328,0,7,321
04-014-004,690,272,0,272,0,10,262
04-014-005,779,303,0,303,0,2,301
04-015-001,727,324,0,300,-24,4,296
04-015-002,784,414,0,414,0,2,412
04-015-003,744,386,0,386,0,6,380
04-015-004,658,368,0,367,-1,10,357
04-015-005,598,361,0,361,0,11,350
04-015-006,641,333,0,333,0,4,329
04-015-007,771,431,0,431,0,5,426
04-015-008,738,371,0,371,0,10,361
04-016-001,770,308,0,308,0,8,300
04-016-002,642,357,0,357,0,9,348
04-016-003,727,390,0,390,0,18,372
04-016-004,615,341,0,341,0,6,335
04-016-005,607,302,0,302,0,13,289
04-017-001,599,373,0,374,1,17,357
04-017-002,512,303,0,302,-1,2,300
04-017-003,376,210,0,209,-1,4,205
04-018-001,428,304,0,304,0,7,297
04-019-001,903,540,0,540,0,16,524
04-020-001,465,289,0,287,-2,6,281
04-020-002,604,365,0,365,0,5,360
04-020-003,618,377,0,377,0,2,375
04-020-004,614,378,0,378,0,16,362
04-020-005,663,405,0,403,-2,10,393
04-020-006,623,371,0,371,0,16,355
04-021-001,839,533,0,533,0,9,524
04-021-002,832,542,0,542,0,10,532
04-021-003,870,527,0,527,0,18,509
04-021-004,953,541,0,541,0,17,524
04-021-005,924,595,0,596,1,27,569
04-022-001,929,460,0,457,-3,4,453
04-022-002,934,578,0,578,0,4,574
04-022-003,999,516,0,516,0,4,512
04-023-001,490,324,0,324,0,5,319
04-023-002,456,325,0,325,0,12,313
04-024-001,548,388,0,388,0,0,388
04-025-001,1354,777,0,777,0,11,766
04-025-002,1364,727,0,727,0,5,722
04-025-003,632,380,0,379,-1,3,376
04-025-004,630,323,0,323,0,2,321
04-025-005,705,320,0,320,0,4,316
04-025-006,617,268,0,268,0,1,267
04-025-007,1284,679,0,678,-1,5,673
04-025-008,710,321,0,321,0,1,320
04-025-009,696,343,0,343,0,6,337
04-025-010,1149,512,0,512,0,8,504
04-025-011,97,35,0,35,0,0,35
04-025-012,795,380,0,380,0,3,377
04-025-013,531,179,0,179,0,3,176
04-026-001,1127,730,0,730,0,9,721
04-026-002,1027,700,0,699,-1,9,690
04-026-003,609,374,0,374,0,3,371
04-026-004,695,447,0,447,0,2,445
04-026-005,666,325,0,325,0,4,321
04-026-006,1006,455,0,454,-1,3,451
04-026-007,1008,562,0,560,-2,4,556
04-026-008,1132,703,0,703,0,4,699
04-026-009,626,404,0,404,0,2,402
04-026-010,769,528,0,528,0,10,518
04-026-011,653,370,0,369,-1,6,363
04-026-012,664,346,0,345,-1,4,341
04-026-013,648,347,2,347,0,2,345
04-026-014,913,493,0,492,-1,1,491
04-026-015,790,530,1,529,-1,3,526
04-026-016,882,529,0,529,0,2,527
04-026-017,659,389,0,389,0,3,386
04-026-018,740,431,0,431,0,2,429
04-026-019,1211,650,0,647,-3,12,635
04-026-020,704,457,0,457,0,4,453
04-026-021,866,548,0,548,0,5,543
04-026-022,821,530,0,530,0,8,522
04-026-023,1019,633,0,632,-1,6,626
04-026-024,682,354,0,354,0,2,352
04-026-025,937,590,0,590,0,4,586
04-026-026,805,426,0,426,0,4,422
04-026-027,629,324,0,321,-3,1,320
04-026-028,625,362,0,361,-1,2,359
04-026-029,635,333,0,333,0,1,332
04-026-030,139,58,0,58,0,1,57
04-027-001,510,326,0,323,-3,7,316
04-028-001,469,332,0,331,-1,6,325
04-028-002,339,239,0,239,0,8,231
04-029-001,462,258,0,258,0,5,253
04-030-001,653,383,0,383,0,6,377
04-031-001,683,379,0,379,0,4,375
04-031-002,636,375,0,375,0,6,369
04-031-003,136,60,0,60,0,1,59
04-032-001,279,171,0,171,0,7,164
04-033-001,623,327,0,326,-1,15,311
04-033-002,697,420,0,420,0,13,407
04-034-001,751,390,0,389,-1,12,377
04-034-002,701,378,0,380,2,28,352
04-034-003,811,422,0,422,0,10,412
04-034-004,564,255,0,255,0,9,246
04-035-001,725,485,0,485,0,13,472
04-035-002,301,143,0,141,-2,3,138
04-036-001,349,224,0,223,-1,11,212
04-037-001,555,293,0,293,0,11,282
04-037-002,618,360,0,360,0,4,356
04-037-003,599,295,0,295,0,7,288
04-037-004,549,257,0,257,0,3,254
04-037-005,610,296,0,296,0,9,287
04-037-006,597,338,0,338,0,6,332
04-037-007,387,166,0,165,-1,1,164
04-038-001,792,481,3,481,0,7,474
04-038-002,875,458,0,458,0,7,451
04-038-003,842,543,0,543,0,7,536
04-038-004,867,566,0,566,0,6,560
04-039-001,459,308,0,307,-1,15,292
04-040-001,607,282,0,282,0,2,280
04-040-002,661,320,0,320,0,5,315
04-040-003,623,311,0,311,0,4,307
04-041-001,353,209,1,209,0,10,199
04-042-001,549,328,0,328,0,8,320
04-042-002,572,330,0,330,0,8,322
04-043-001,629,322,0,322,0,8,314
04-043-002,604,323,0,323,0,4,319
04-043-003,776,354,0,354,0,10,344
04-044-001,701,467,0,466,-1,13,453
04-044-002,593,379,0,379,0,10,369
04-045-001,565,363,0,363,0,9,354
04-045-002,455,274,0,274,0,2,272
04-045-003,536,323,0,324,1,19,305
04-046-001,171,115,0,115,0,2,113
04-047-001,474,301,0,300,-1,15,285
04-047-002,247,159,0,158,-1,11,147
04-048-001,945,551,0,550,-1,22,528
04-048-002,787,506,0,506,0,7,499
04-048-003,760,450,1,449,-1,21,428
04-048-004,242,107,0,107,0,2,105
04-049-001,1003,444,0,442,-2,21,421
04-049-002,964,482,1,482,0,18,464
04-049-003,996,568,0,568,0,6,562
04-049-004,1006,524,0,524,0,6,518
04-049-005,906,554,0,554,0,13,541
04-049-006,1052,437,0,436,-1,7,429
04-049-007,999,499,1,498,-1,1,497
04-049-008,942,456,0,454,-2,7,447
04-050-001,679,492,0,491,-1,8,483
04-050-002,75,55,0,55,0,5,50
04-051-001,653,322,0,321,-1,4,317
04-051-002,595,310,0,310,0,2,308
04-051-003,619,319,0,319,0,7,312
04-051-004,709,494,0,494,0,6,488
04-051-005,689,359,0,359,0,2,357
04-051-006,682,291,0,290,-1,5,285
04-052-001,768,438,1,437,-1,3,434
04-052-002,887,487,0,487,0,7,480
04-052-003,922,496,0,496,0,6,490
04-052-004,1011,555,0,555,0,10,545
04-052-005,890,425,0,425,0,11,414
04-053-001,826,589,0,581,-8,13,568
04-053-002,843,624,0,624,0,10,614
04-054-001,449,302,0,302,0,3,299
04-054-002,507,339,0,339,0,3,336
04-055-001,966,613,0,613,0,9,604
04-056-001,386,243,0,243,0,5,238
04-056-002,585,370,0,370,0,10,360
04-057-001,821,412,0,412,0,10,402
04-057-002,1071,621,0,621,0,10,611
04-057-003,911,474,0,473,-1,10,463
04-057-004,1044,606,0,606,0,6,600
04-058-001,870,522,0,522,0,14,508
04-058-002,891,557,0,555,-2,17,538
04-059-001,638,387,0,386,-1,1,385
04-059-002,1236,660,0,660,0,7,653
04-059-003,749,347,0,346,-1,5,341
04-059-004,993,614,0,614,0,8,606
04-059-005,821,439,0,439,0,1,438
04-059-006,467,285,0,284,-1,3,281
04-059-007,474,254,0,254,0,4,250
04-059-008,746,429,0,429,0,2,427
04-059-009,1167,653,0,650,-3,3,647
04-059-010,1089,588,0,587,-1,4,583
04-059-011,985,522,0,521,-1,4,517
04-059-012,113,55,0,55,0,1,54
04-059-013,481,262,0,262,0,2,260
04-059-014,1405,872,0,871,-1,11,860
04-059-015,896,475,0,475,0,1,474
04-059-016,721,377,0,377,0,3,374
04-059-017,1053,626,0,624,-2,11,613
04-059-018,949,562,0,561,-1,2,559
04-059-019,894,493,0,493,0,5,488
04-059-020,833,422,0,422,0,3,419
04-059-021,775,426,0,425,-1,5,420
04-059-022,444,270,0,270,0,3,267
04-059-023,365,197,0,197,0,3,194
04-059-024,818,378,0,375,-3,9,366
04-059-025,843,432,0,431,-1,7,424
04-059-026,593,264,0,264,0,2,262
04-059-027,627,285,0,285,0,9,276
04-059-028,147,60,0,60,0,1,59
04-059-029,141,76,0,76,0,0,76
04-059-030,585,355,0,355,0,0,355
04-059-031,63,29,0,29,0,0,29
04-060-001,268,196,0,195,-1,3,192
04-061-001,733,467,0,467,0,16,451
04-061-002,497,288,0,288,0,7,281
04-062-001,200,127,0,127,0,2,125
04-062-002,66,46,0,46,0,2,44
04-063-001,971,489,0,489,0,9,480
04-063-002,951,475,0,475,0,6,469
04-063-003,983,412,0,412,0,7,405
04-063-004,956,579,0,579,0,5,574
04-063-005,989,482,0,482,0,17,465
04-063-006,882,477,0,477,0,7,470
04-063-007,1010,575,0,574,-1,8,566
04-063-008,880,434,0,434,0,5,429
04-064-001,567,313,0,313,0,9,304
04-064-002,575,320,0,320,0,8,312
04-064-003,100,44,0,44,0,0,44
04-065-001,623,401,0,401,0,12,389
04-065-002,740,443,0,442,-1,4,438
04-065-003,684,397,0,396,-1,7,389
04-066-001,649,406,0,406,0,6,400
04-066-002,836,472,0,472,0,1,471
04-066-003,722,448,0,448,0,11,437
04-066-004,680,431,0,431,0,4,427
04-066-005,812,543,0,543,0,1,542
04-066-006,665,390,0,390,0,8,382
04-066-007,605,327,0,327,0,6,321
04-066-008,902,536,0,536,0,2,534
04-066-009,1048,743,0,742,-1,7,735
04-066-010,501,289,0,289,0,2,287
04-066-011,1164,682,2,679,-3,9,670
04-066-012,581,339,0,338,-1,1,337
04-066-013,762,400,0,400,0,5,395
04-066-014,864,474,1,474,0,3,471
04-066-015,205,109,0,109,0,1,108
04-066-016,203,104,0,104,0,2,102
04-066-017,362,186,0,186,0,0,186
04-066-018,548,279,0,279,0,0,279
04-067-001,986,531,0,531,0,5,526
04-067-002,1002,623,0,622,-1,12,610
04-067-003,820,439,0,438,-1,8,430
04-067-004,1006,572,0,572,0,5,567
04-067-005,960,475,0,475,0,9,466
04-067-006,1018,580,0,580,0,5,575
04-067-007,1029,435,0,435,0,10,425
04-068-001,632,340,0,340,0,6,334
04-069-001,600,337,0,337,0,5,332
04-069-002,664,355,0,355,0,5,350
04-070-001,462,258,0,258,0,2,256
04-070-002,648,353,0,353,0,6,347
04-070-003,485,313,0,315,2,30,285
04-070-004,491,292,0,292,0,1,291
04-070-005,499,226,0,226,0,5,221
04-070-006,483,253,0,253,0,2,251
04-070-007,731,436,0,436,0,4,432
04-070-008,790,432,0,432,0,9,423
04-071-001,762,397,0,397,0,4,393
04-071-002,656,342,0,340,-2,2,338
04-071-003,668,355,0,355,0,9,346
04-071-004,701,430,0,430,0,7,423
04-071-005,726,404,0,404,0,13,391
04-071-006,585,298,0,298,0,3,295
04-072-001,79,53,0,53,0,3,50
04-073-001,971,592,0,592,0,9,583
04-074-001,672,361,0,360,-1,3,357
04-074-002,645,364,0,364,0,9,355
04-074-003,716,425,0,425,0,7,418
04-074-004,653,415,0,415,0,7,408
04-074-005,879,445,0,443,-2,12,431
04-074-006,814,430,0,428,-2,13,415
04-074-007,792,307,0,307,0,4,303
04-075-001,599,392,0,390,-2,10,380
04-075-002,600,401,0,401,0,9,392
05-001-001,63,42,0,42,0,0,42
05-002-001,398,293,0,293,0,3,290
05-002-002,73,53,0,53,0,1,52
05-003-001,69,40,0,40,0,0,40
05-004-001,812,344,0,344,0,5,339
05-004-002,757,360,0,360,0,3,357
05-004-003,666,356,0,355,-1,4,351
05-005-001,133,99,0,99,0,1,98
05-006-001,117,67,0,67,0,3,64
05-007-001,134,103,0,103,0,2,101
05-008-001,430,332,0,332,0,6,326
05-009-001,566,341,0,341,0,7,334
05-010-001,570,298,0,298,0,7,291
05-011-001,219,146,0,146,0,2,144
05-012-001,71,64,0,64,0,2,62
05-013-001,151,127,0,127,0,1,126
05-014-001,319,253,0,253,0,2,251
05-015-001,105,75,0,75,0,2,73
05-016-001,1056,668,0,665,-3,24,641
05-017-001,731,441,0,438,-3,5,433
05-017-002,736,454,0,454,0,4,450
05-017-003,969,436,0,435,-1,13,422
05-017-004,801,509,0,508,-1,7,501
05-017-005,966,469,0,469,0,9,460
05-018-001,54,39,0,39,0,2,37
05-019-001,823,316,0,315,-1,27,288
05-019-002,824,382,0,381,-1,13,368
05-019-003,857,408,0,407,-1,18,389
05-020-001,839,556,0,556,0,7,549
05-020-002,1041,715,0,714,-1,7,707
05-021-001,682,466,0,447,-19,8,439
05-021-002,642,441,0,439,-2,13,426
05-022-001,779,503,0,503,0,18,485
05-023-001,532,377,0,375,-2,15,360
05-024-001,335,247,0,247,0,13,234
05-025-001,155,132,0,132,0,1,131
05-026-001,537,314,0,314,0,2,312
05-026-002,511,300,0,300,0,7,293
05-027-001,942,602,0,600,-2,23,577
05-028-001,24,21,0,21,0,0,21
05-029-001,936,538,0,538,0,9,529
05-029-002,1015,590,0,589,-1,2,587
05-030-001,868,552,0,552,0,18,534
05-031-001,215,175,0,175,0,3,172
05-032-001,749,439,0,439,0,11,428
05-033-001,962,514,0,514,0,15,499
05-034-001,763,560,0,560,0,8,552
05-035-001,654,455,0,455,0,7,448
05-036-001,693,470,0,470,0,6,464
05-037-001,789,454,0,454,0,10,444
05-037-002,866,496,0,495,-1,18,477
05-038-001,403,209,0,209,0,5,204
05-039-001,707,520,0,510,-10,18,492
05-040-001,1008,500,0,500,0,19,481
05-040-002,829,528,0,528,0,4,524
05-041-001,605,351,0,351,0,20,331
05-042-001,232,178,0,178,0,3,175
05-043-001,421,313,0,313,0,7,306
05-044-001,785,491,0,487,-4,7,480
05-044-002,806,485,0,485,0,6,479
05-044-003,650,353,0,351,-2,3,348
05-045-001,889,445,0,445,0,6,439
05-046-001,919,644,0,642,-2,21,621
05-047-001,190,148,0,148,0,16,132
05-048-001,78,46,0,46,0,1,45
05-049-001,734,511,0,511,0,10,501
05-050-001,146,99,0,99,0,3,96
05-051-001,773,482,0,477,-5,10,467
05-051-002,597,380,0,380,0,6,374
05-051-003,656,411,0,410,-1,2,408
05-052-001,1216,716,0,715,-1,9,706
05-053-001,594,385,0,385,0,3,382
05-053-002,727,435,0,435,0,5,430
05-054-001,118,104,0,104,0,2,102
05-055-001,931,650,0,650,0,11,639
05-056-001,816,569,0,569,0,6,563
05-057-001,132,92,0,92,0,0,92
05-058-001,789,347,0,347,0,12,335
05-058-002,714,402,0,401,-1,10,391
05-058-003,725,358,0,358,0,8,350
05-059-001,283,232,0,231,-1,3,228
05-060-001,815,611,0,611,0,8,603
05-061-001,320,261,1,260,-1,4,256
05-062-001,535,358,0,358,0,11,347
05-063-001,441,313,0,313,0,2,311
05-064-001,552,264,0,264,0,5,259
05-065-001,513,406,0,408,2,29,379
05-066-001,562,381,0,381,0,9,372
05-067-001,181,165,0,165,0,2,163
05-068-001,271,211,0,212,1,12,200
05-069-001,13,10,0,10,0,0,10
05-070-001,214,192,0,192,0,2,190
05-071-001,1138,757,0,752,-5,25,727
05-072-001,598,376,0,376,0,7,369
05-073-001,220,183,0,183,0,6,177
05-074-001,221,174,0,173,-1,1,172
05-075-001,924,554,0,554,0,11,543
05-075-002,978,695,0,694,-1,13,681
05-075-003,1070,614,0,613,-1,12,601
05-075-004,802,552,0,552,0,11,541
05-075-005,828,538,0,538,0,5,533
05-075-006,773,513,0,512,-1,17,495
05-075-007,1004,621,0,621,0,15,606
05-075-008,965,478,0,478,0,16,462
05-076-001,445,313,0,312,-1,6,306
05-077-001,731,364,0,364,0,3,361
05-077-002,780,448,0,448,0,3,445
05-077-003,781,377,1,376,-1,6,370
05-077-004,857,388,0,388,0,7,381
05-077-005,819,428,0,428,0,9,419
05-078-001,740,537,0,537,0,6,531
05-078-002,871,547,0,547,0,8,539
05-078-003,636,249,0,249,0,9,240
05-078-004,740,434,0,434,0,8,426
05-078-005,692,499,0,499,0,6,493
05-078-006,549,337,0,336,-1,5,331
05-078-007,468,252,0,251,-1,19,232
05-079-001,874,514,0,514,0,5,509
05-080-001,435,319,0,319,0,5,314
05-081-001,60,55,0,55,0,3,52
05-082-001,235,171,0,171,0,4,167
05-083-001,732,486,0,486,0,12,474
05-083-002,535,339,0,339,0,19,320
05-084-001,297,275,0,275,0,4,271
05-085-001,211,102,0,102,0,3,99
05-086-001,655,422,1,419,-3,26,393
05-087-001,162,139,0,137,-2,7,130
05-088-001,297,221,0,221,0,6,215
05-089-001,790,534,0,534,0,10,524
05-090-001,214,173,0,173,0,3,170
05-091-001,505,346,0,346,0,6,340
05-092-001,391,344,0,344,0,7,337
05-093-001,689,471,0,471,0,5,466
05-093-002,978,620,0,620,0,6,614
05-093-003,986,687,0,686,-1,20,666
05-093-004,603,409,0,409,0,8,401
05-093-005,948,567,0,566,-1,15,551
05-093-006,1011,581,1,580,-1,10,570
05-094-001,70,55,0,55,0,2,53
05-095-001,230,181,0,181,0,4,177
05-096-001,987,662,0,659,-3,15,644
05-096-002,930,675,0,672,-3,36,636
05-097-001,248,210,0,209,-1,11,198
05-098-001,314,263,0,263,0,6,257
05-099-001,103,97,0,97,0,8,89
05-100-001,241,207,0,207,0,2,205
05-101-001,242,180,0,180,0,6,174
05-102-001,147,92,0,92,0,3,89
05-103-001,32,26,0,26,0,0,26
05-104-001,134,116,0,116,0,3,113
05-105-001,180,148,0,148,0,1,147
05-106-001,64,53,0,53,0,3,50
05-107-001,272,227,0,227,0,4,223
05-108-001,428,300,0,300,0,6,294
05-109-001,585,270,0,270,0,5,265
05-109-002,553,290,0,290,0,7,283
05-109-003,648,348,0,348,0,9,339
05-109-004,209,91,0,91,0,5,86
05-110-001,613,382,0,382,0,13,369
05-111-001,485,416,0,416,0,6,410
05-112-001,70,61,0,61,0,1,60
05-113-001,691,476,0,475,-1,7,468
05-113-002,700,432,0,432,0,1,431
05-114-001,430,318,0,318,0,10,308
05-115-001,421,235,0,233,-2,8,225
05-116-001,618,427,0,426,-1,9,417
05-116-002,648,389,0,389,0,15,374
05-117-001,465,370,0,370,0,15,355
05-118-001,566,294,0,294,0,5,289
05-118-002,572,353,0,353,0,7,346
05-119-001,789,445,0,445,0,4,441
05-119-002,808,533,0,532,-1,6,526
05-120-001,117,77,0,77,0,2,75
05-121-001,92,81,0,81,0,3,78
05-122-001,211,183,0,183,0,8,175
05-123-001,613,345,0,345,0,9,336
05-123-002,644,327,0,327,0,4,323
05-124-001,811,541,0,541,0,6,535
05-125-001,233,161,0,161,0,3,158
05-126-001,791,540,0,540,0,19,521
05-127-001,555,461,1,458,-3,13,445
05-128-001,516,353,0,351,-2,6,345
05-129-001,120,117,0,116,-1,3,113
05-130-001,159,117,0,117,0,6,111
05-131-001,129,60,0,60,0,1,59
05-131-002,1073,662,0,662,0,9,653
05-132-001,239,178,0,177,-1,0,177
05-133-001,950,519,0,518,-1,12,506
05-133-002,866,498,0,498,0,12,486
05-133-003,900,560,0,565,5,65,500
05-134-001,160,133,0,133,0,9,124
05-135-001,291,234,0,234,0,1,233
05-136-001,126,111,0,111,0,0,111
05-137-001,662,531,0,530,-1,5,525
05-138-001,374,239,0,239,0,2,237
05-139-001,642,423,0,423,0,7,416
05-140-001,402,304,0,304,0,9,295
05-141-001,583,333,0,333,0,3,330
05-142-001,689,423,0,423,0,5,418
05-143-001,862,462,0,461,-1,10,451
05-144-001,79,52,0,52,0,1,51
05-145-001,897,608,0,608,0,12,596
05-146-001,80,62,0,62,0,0,62
05-147-001,645,402,0,402,0,3,399
05-147-002,610,330,0,330,0,10,320
05-148-001,391,291,0,290,-1,11,279
05-149-001,710,438,0,437,-1,6,431
05-149-002,593,345,0,345,0,14,331
05-150-001,223,172,0,172,0,5,167
05-151-001,685,441,0,441,0,10,431
05-151-002,651,459,1,458,-1,9,449
05-152-001,385,269,0,269,0,3,266
05-153-001,624,407,0,407,0,2,405
05-153-002,733,422,0,422,0,4,418
05-153-003,861,418,1,417,-1,6,411
05-153-004,1178,696,0,694,-2,3,691
05-153-005,801,472,0,472,0,4,468
05-153-006,868,359,0,357,-2,1,356
05-153-007,1086,367,0,367,0,6,361
05-153-008,902,344,0,344,0,3,341
05-153-009,604,364,0,364,0,1,363
05-153-010,586,340,0,340,0,3,337
05-153-011,1014,519,0,519,0,5,514
05-153-012,1122,432,0,431,-1,6,425
05-153-013,686,374,1,373,-1,3,370
05-153-014,862,421,0,421,0,3,418
